status	size	property_type	rooms	floor	year_built	property_condition	location
wtórny	27.5	kamienica	2	3	1923	do zamieszkania	Grunwald
wtórny	73.3	kamienica	4	0	brak informacji	do zamieszkania	Jeżyce
wtórny	68.8	blok	4	5	2017	do zamieszkania	Jeżyce
pierwotny	32.2	apartamentowiec	1	6	2023	do wykończenia	Stare Miasto
wtórny	45.2	brak informacji	2	2	1965	zapytaj	Stare Miasto
pierwotny	51.66	blok	3	6	2023	do wykończenia	Grunwald
wtórny	56.48	blok	2	1	2010	do zamieszkania	Grunwald
wtórny	31.6	brak informacji	1	1	2000	do zamieszkania	Stare Miasto
brak informacji	59.22	brak informacji	3	3	brak informacji	do wykończenia	Grunwald
wtórny	61.31	blok	3	0	2018	do zamieszkania	Grunwald
wtórny	70.0	brak informacji	3	7	2023	do zamieszkania	Grunwald
wtórny	45.2	blok	2	1	2001	do wykończenia	Stare Miasto
wtórny	113.6	kamienica	4	2	1910	do zamieszkania	Wilda
wtórny	69.33	kamienica	3	0	1911	zapytaj	Wilda
wtórny	126.54	kamienica	7	3	1950	do zamieszkania	Grunwald
wtórny	47.73	blok	2	3	brak informacji	zapytaj	Jeżyce
pierwotny	41.92	apartamentowiec	2	5	2023	zapytaj	Nowe Miasto
brak informacji	61.83	brak informacji	4	5	brak informacji	do wykończenia	Jeżyce
wtórny	68.1	kamienica	2	2	1905	do wykończenia	Jeżyce
wtórny	44.3	kamienica	2	0	brak informacji	do zamieszkania	Stare Miasto
wtórny	50.3	blok	2	0	2023	do zamieszkania	Grunwald
wtórny	88.84	blok	3	2	brak informacji	do zamieszkania	Stare Miasto
wtórny	65.0	blok	3	1	2009	do zamieszkania	Jeżyce
brak informacji	86.19	brak informacji	3	2	brak informacji	do wykończenia	Nowe Miasto
wtórny	47.0	blok	3	2	brak informacji	brak informacji	Winogrady
wtórny	59.0	apartamentowiec	2	0	brak informacji	brak informacji	Jeżyce
wtórny	64.9	blok	4	0	1980	do zamieszkania	Stare Miasto
pierwotny	45.61	blok	3	3	2023	do wykończenia	Nowe Miasto
wtórny	63.9	brak informacji	3	3	brak informacji	do zamieszkania	Nowe Miasto
wtórny	68.0	brak informacji	2	1	brak informacji	do zamieszkania	Nowe Miasto
wtórny	165.32	blok	5	4	2007	do zamieszkania	Jeżyce
wtórny	45.0	apartamentowiec	2	2	2007	do zamieszkania	Grunwald
pierwotny	48.0	apartamentowiec	3	3	brak informacji	brak informacji	Podolany
wtórny	50.0	blok	2	3	brak informacji	brak informacji	Piątkowo
wtórny	61.21	brak informacji	3	1	2014	zapytaj	Stare Miasto
brak informacji	69.69	brak informacji	3	4	brak informacji	do wykończenia	Grunwald
wtórny	54.0	blok	3	3	2000	do zamieszkania	Stare Miasto
pierwotny	65.1	blok	4	8	2024	do wykończenia	Nowe Miasto
wtórny	58.7	brak informacji	3	1	1920	zapytaj	Grunwald
wtórny	31.0	blok	1	10	1976	do zamieszkania	Nowe Miasto
wtórny	50.8	blok	3	2	1965	do zamieszkania	Grunwald
pierwotny	35.4	blok	2	1	2023	do wykończenia	Nowe Miasto
wtórny	59.1	blok	3	0	brak informacji	do zamieszkania	Stare Miasto
pierwotny	45.06	apartamentowiec	2	1	2023	do wykończenia	Grunwald
wtórny	63.64	brak informacji	3	0	brak informacji	do remontu	Jeżyce
wtórny	33.0	kamienica	2	5	2020	do zamieszkania	Wilda
pierwotny	67.95	blok	3	2	2024	do wykończenia	Jeżyce
brak informacji	65.68	brak informacji	4	0	brak informacji	do wykończenia	Nowe Miasto
wtórny	48.87	blok	2	2	2007	do zamieszkania	Stare Miasto
pierwotny	69.79	apartamentowiec	4	1	2024	do wykończenia	Grunwald
pierwotny	53.74	blok	3	1	2024	do wykończenia	Nowe Miasto
pierwotny	59.7	blok	4	1	2023	do wykończenia	Nowe Miasto
pierwotny	57.0	blok	4	3	2023	do wykończenia	Nowe Miasto
brak informacji	157.65	brak informacji	4	7	brak informacji	do wykończenia	Stare Miasto
wtórny	35.6	blok	1	1	brak informacji	zapytaj	Grunwald
wtórny	143.0	kamienica	7	4	1910	do zamieszkania	Grunwald
wtórny	37.0	blok	2	1	1960	do zamieszkania	Jeżyce
wtórny	58.8	brak informacji	2	0	2013	do zamieszkania	Stare Miasto
wtórny	37.7	blok	2	1	1980	do zamieszkania	Grunwald
wtórny	64.8	blok	3	4	1989	do zamieszkania	Stare Miasto
wtórny	55.0	blok	3	10	brak informacji	brak informacji	Górczyn
wtórny	68.0	brak informacji	2	1	brak informacji	do zamieszkania	Nowe Miasto
pierwotny	48.64	brak informacji	3	0	brak informacji	do wykończenia	Grunwald
wtórny	53.75	blok	2	1	2008	do zamieszkania	Stare Miasto
wtórny	70.0	blok	3	0	2010	zapytaj	Stare Miasto
wtórny	68.32	kamienica	2	1	1905	do wykończenia	Jeżyce
wtórny	72.62	blok	4	3	2017	do zamieszkania	Jeżyce
pierwotny	52.0	blok	3	2	2023	do wykończenia	Nowe Miasto
wtórny	58.0	apartamentowiec	2	7	brak informacji	brak informacji	Winogrady
pierwotny	27.0	blok	1	1	2023	do wykończenia	Nowe Miasto
brak informacji	43.88	brak informacji	2	5	brak informacji	do wykończenia	Stare Miasto
wtórny	65.0	blok	3	0	brak informacji	brak informacji	Winogrady
wtórny	60.83	blok	3	0	brak informacji	do remontu	Wilda
wtórny	59.0	blok	3	1	brak informacji	brak informacji	Naramowice
pierwotny	167.57	dom wolnostojący	5	0	2023	zapytaj	Stare Miasto
brak informacji	67.19	brak informacji	3	2	brak informacji	do wykończenia	Grunwald
wtórny	30.0	blok	1	4	brak informacji	do zamieszkania	Nowe Miasto
wtórny	37.0	blok	2	4	brak informacji	brak informacji	Rataje
wtórny	74.0	blok	3	6	2008	do zamieszkania	Nowe Miasto
pierwotny	48.59	blok	3	3	2025	zapytaj	Stare Miasto
wtórny	47.3	blok	3	4	brak informacji	do wykończenia	Stare Miasto
wtórny	78.0	blok	5	10	1985	zapytaj	Stare Miasto
wtórny	53.0	blok	3	3	brak informacji	brak informacji	Winogrady
wtórny	33.0	brak informacji	1	10	1980	zapytaj	Stare Miasto
wtórny	42.0	apartamentowiec	2	5	2023	do wykończenia	Grunwald
wtórny	51.2	apartamentowiec	3	0	2013	do zamieszkania	Grunwald
pierwotny	45.15	blok	2	2	2023	do wykończenia	Stare Miasto
pierwotny	65.1	blok	4	7	2024	do wykończenia	Nowe Miasto
wtórny	68.0	brak informacji	2	1	brak informacji	do zamieszkania	Nowe Miasto
wtórny	37.0	brak informacji	1	1	2023	do wykończenia	Nowe Miasto
pierwotny	62.99	apartamentowiec	3	zapytaj	2023	do wykończenia	Stare Miasto
pierwotny	72.19	szeregowiec	3	1	2022	do wykończenia	Jeżyce
wtórny	74.0	blok	4	4	brak informacji	zapytaj	Nowe Miasto
wtórny	40.0	apartamentowiec	2	4	2022	do zamieszkania	Nowe Miasto
pierwotny	27.62	apartamentowiec	1	1	brak informacji	do wykończenia	Nowe Miasto
wtórny	95.99	brak informacji	4	1	2010	do zamieszkania	Jeżyce
wtórny	60.0	apartamentowiec	3	1	2015	do zamieszkania	Nowe Miasto
wtórny	44.63	blok	3	2	brak informacji	do remontu	Wilda
wtórny	52.0	blok	2	1	2005	do zamieszkania	Grunwald
wtórny	45.91	apartamentowiec	2	3	2018	do zamieszkania	Nowe Miasto
wtórny	48.0	blok	2	1	brak informacji	brak informacji	Poznań
wtórny	54.0	blok	2	3	2016	do zamieszkania	Stare Miasto
brak informacji	33.03	brak informacji	2	0	brak informacji	do wykończenia	Grunwald
pierwotny	50.79	blok	3	4	2023	do wykończenia	Nowe Miasto
